LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,YEAR_RESURF,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.0423165,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70878,107062
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.05595857,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70757,103976
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.01248939,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70974,109200
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.01219617,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70917,107833
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.00771928,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70777,104744
Bear Valley,140,None,None,1,Park Circulation,Asphalt,0.00788337,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,70814,105538
Ford Park,538,None,None,1,Right of Way Walk,Concrete,0.09820174,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71950,108646
Franco Park,022,None,None,1,Right of Way Walk,Concrete,0.01172003,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71951,108647
Franco Park,022,None,None,1,Right of Way Walk,Concrete,0.0125646,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71817,104903
Franco Park,022,None,None,1,Park Circulation,Concrete,0.03945619,8.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71984,109336
Franco Park,022,None,None,1,Right of Way Walk,Concrete,0.0026167,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71952,108648
Franco Park,022,None,None,1,Park Circulation,Concrete,0.00471499,10.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,71855,105682
Franco Park,022,None,None,1,Right of Way Walk,Concrete,0.03692618,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71772,104110
Franco Park,022,None,None,1,Right of Way Walk,Concrete,0.00420418,5.0,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-ROW,71985,109337
